"Hyva Themes","Hyva Themes"
"Hyvä Client-Side Breadcrumbs Rendering","Visualizzazione delle briciole di pane lato client con Hyvä"
"Jump backward","Salta indietro"
"Lazyload Tag Manager","Lazyload Tag Manager"
"Luma Fallback module expected","Modulo Luma Fallback previsto"
"Message Display","Mostra messaggio"
"Please enter a valid value. The two nearest valid values are ""%0"" and ""%1"".","Inserire un valore valido. I due valori validi più vicini sono ""%0"" e ""%1""."
"Please enter a value greater than or equal to ""%0"".","Inserire un valore maggiore o uguale a ""%0""."
"Please enter a value less than or equal to ""%0"".","Inserire un valore inferiore o uguale a ""%0""."
"Please enter at least %0 characters.","Inserire almeno %0 caratteri."
"Please enter at least 1 character.","Inserire almeno 1 carattere."
"Please enter no more than %0 characters.","Si prega di inserire non più di %0 caratteri."
"Please enter no more than 1 character.","Si prega di inserire non più di 1 carattere."
"Please match the requested format.","Rispettare il formato richiesto."
"Please match the requested format: %0.","Si prega di rispettare il formato richiesto: %0."
"Please provide at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)","Utilizzare almeno un carattere maiuscolo, uno minuscolo, una cifra e un carattere speciale (#?!@$%^&amp;*-)"
"Success Message Default Timeout","Timeout predefinito per il messaggio di successo"
"The number of milliseconds, after which success messages disappear by default. Leave empty to disable automatic hiding.","Numero di millisecondi dopo i quali i messaggi di successo scompaiono per impostazione predefinita. Lasciare vuoto per disabilitare la scomparsa automatica."
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","La password deve includere almeno %1 o più tra: maiuscole (A-Z), minuscole (a-z), numeri e simboli."
"The telephone number is too short.","Il numero di telefono è troppo corto."
"This field value must be the same as ""%0"".","Il valore di questo campo deve essere uguale a ""%0""."
"%0 of %1 products in cart displayed","Visualizzati %0 di %1 prodotti nel carrello"
"%1 filter options","%1 opzioni di filtro"
"%1 filter, %2 available products","%1 filtro, %2 prodotti disponibili"
"%1 filter, 1 available product","%1 filtro, 1 prodotto disponibile"
"%1 options","%1 opzioni"
"%1 rating. %2 out of %3 stars","%1 valutazione. %2 su %3 stelle"
"%1 rating. %2 out of %3 stars. Click to go to reviews.","%1 valutazione. %2 su %3 stelle. Clicca per andare alle recensioni."
"%1 stars","%1 stelle"
"1 star","1 stella"
"Add %1 to Cart","Aggiungi %1 al carrello"
"Add to Cart %1","Aggiungi al carrello %1"
"Add to cart selected products from list","Aggiungi al carrello i prodotti selezionati dall'elenco"
"Back to main categories","Torna alle categorie principali"
Carousel,Carosello
"Carousel %1","Carosello %1"
"Cart is empty","Il carrello è vuoto"
"Click to view image in fullscreen","Clicca per visualizzare l'immagine a schermo intero"
"Close fullscreen","Chiudi la visualizzazione a schermo intero"
"Close menu","Chiudi il menu"
"Close message","Chiudi il messaggio"
"Close minicart","Chiudi il minicarrello"
"Confirm password hidden","Conferma password nascosta"
"Display slide %1","Visualizza la diapositiva %1"
"Edit %1","Modifica %1"
"Edit Address - billing default","Modifica indirizzo - fatturazione predefinita"
"Edit Address - shipping default","Modifica indirizzo - spedizione predefinita"
"Edit contact information","Modifica le informazioni di contatto"
"Edit newsletters","Modifica le newsletter"
"Edit product ""%0""","Modifica il prodotto ""%0"""
"Filter %1 %2","Filtro %1 %2"
"Final product price ","Prezzo finale del prodotto "
"Gallery modal fullscreen","Modale della galleria a schermo intero"
"Go to Home page","Vai alla pagina iniziale"
"Go to Wish List page","Vai alla pagina della Lista dei desideri"
"Hyva twitter profile","Profilo twitter di Hyva"
"Item %1","Voce %1"
"Main image","Immagine principale"
"Main menu","Menu principale"
"Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links.","È possibile navigare tra gli elementi del carosello utilizzando il tasto tabulazione. È possibile saltare il carosello o passare direttamente alla navigazione del carosello utilizzando i link di salto."
"Next slide","Diapositiva successiva"
"Open %1 subcategories","Aprire %1 sottocategorie"
"Open menu","Aprire il menu"
"Password hidden","Password nascosta"
"Password shown","Password visualizzata"
"Press to go to carousel navigation","Premere per passare alla navigazione a carosello"
"Press to skip carousel","Premere per saltare il carosello"
"Previous slide","Diapositiva precedente"
"Product ""%0""","Prodotto ""%0"""
"Product ""%1"" is not salable","Il prodotto ""%1"" non è vendibile"
"Product filters","Filtri prodotto"
"Product list","Elenco dei prodotti"
"Products view mode","Modalità di visualizzazione dei prodotti"
"Products view mode - %1","Modalità di visualizzazione dei prodotti - %1"
"Remove active %1 filter: %2","Rimuovi il filtro attivo %1: %2"
"Remove item %1","Rimuovi l'articolo %1"
"Remove product ""%0"" from cart","Rimuovi il prodotto ""%0"" dal carrello"
"Remove product ""%1"" from My Wish List","Rimuovi il prodotto ""%1"" dalla Mia lista dei desideri"
"Remove product ""%1"" from the comparison","Rimuovi il prodotto ""%1"" dal confronto"
"Select product ""%1"" to reorder","Seleziona il prodotto ""%1"" da riordinare"
"Show items per page","Mostra gli elementi per pagina"
"Show submenu for %1 category","Mostra il sottomenu per la categoria %1"
"Site navigation","Navigazione del sito"
"Site navigation links","Link di navigazione del sito"
"Skip to product list","Passa all'elenco prodotti"
"Store logo","Logo del negozio"
Subcategories,Sottocategorie
"Toggle minicart","Attiva/disattiva il minicarrello"
"Toggle search form","Attiva/disattiva il modulo di ricerca"
"View all orders","Visualizza tutti gli ordini"
"View all recent orders","Visualizza tutti gli ordini recenti"
"View cart","Visualizza il carrello"
"View order","Visualizza l'ordine"
"confirm password shown","conferma la password visualizzata"
filter,filtro
"form appears when field is selected","Il modulo viene visualizzato quando il campo è selezionato"
"opens in new window","si apre in una nuova finestra"
"%1 item","Voce %1"
"%1 search results","%1 risultati della ricerca"
"%1 thumbnail","%1 miniatura"
"1 search result","1 risultato della ricerca"
"Close panel","Chiudi il pannello"
"Configure %1 on the product page","Configura %1 nella pagina del prodotto"
"Error initializing Express Checkout, please try again later or choose a different checkout method.","Errore nell'inizializzazione di Express Checkout, riprova più tardi o scegli un altro metodo di pagamento."
"Order %1 canceled.","Ordine %1 annullato."
"Play video","Riproduci il video"
"The price depends on the chosen options","Il prezzo dipende dalle opzioni scelte"
"The price depends on the options chosen on the product page","Il prezzo dipende dalle opzioni scelte nella pagina del prodotto."
